"SUBJECT" "DIET" "SEQUENCE" "y.Actinobacteria" "y.Bacteroidetes" "y.Firmicutes" "y.Fusobacteria" "y.Proteobacteria" "y.OTHER"
"beauty" "FIBRE" "ACB" 1.509282e-01 1.802260e-01 6.262308e-01 1.251009e-02 2.986279e-02 2.421308e-04
"bedlam" "BASE" "ACB" 3.631961e-03 4.791768e-01 2.702986e-01 1.637611e-01 8.305085e-02 8.071028e-05
"bedlam" "HYPO" "ACB" 1.380145e-02 3.019370e-01 3.973366e-01 2.295400e-01 5.673931e-02 6.456820e-04
"bedlam" "WASHOUT" "ACB" 4.067797e-02 7.263923e-03 7.807103e-01 1.598063e-01 1.033091e-02 1.210654e-03
"bedlam" "FIBRE" "ACB" 2.117837e-01 1.751412e-02 6.603713e-01 9.765940e-03 1.004650e-01 1.000000e-04
"blackprint" "BASE" "ACB" 2.292171e-02 1.343826e-01 5.539952e-01 2.594027e-01 2.889427e-02 4.035513e-04
"blackprint" "HYPO" "ACB" 1.589992e-02 3.002421e-01 3.609362e-01 2.386602e-01 8.305085e-02 1.210654e-03
"blackprint" "WASHOUT" "ACB" 2.881356e-02 1.843422e-01 4.021792e-01 2.764326e-01 1.079903e-01 2.421308e-04
"blackprint" "FIBRE" "ACB" 2.447135e-01 7.909605e-03 5.559322e-01 8.627926e-02 1.050847e-01 8.071025e-05
"charcoal" "BASE" "ACB" 2.582728e-03 5.016949e-01 1.779661e-01 1.894270e-01 1.280872e-01 2.421307e-04
"charcoal" "HYPO" "ACB" 5.617433e-02 1.706215e-01 4.329298e-01 2.221953e-01 1.179177e-01 1.614205e-04
"charcoal" "WASHOUT" "ACB" 4.108152e-02 7.643261e-02 5.964487e-01 1.623890e-01 1.217918e-01 1.856336e-03
"charcoal" "FIBRE" "ACB" 1.541566e-02 7.933818e-02 8.494754e-01 3.083132e-02 2.469734e-02 2.421307e-04
"cybil" "BASE" "ACB" 2.744148e-03 4.740920e-01 2.845036e-01 1.484262e-01 8.974980e-02 4.842615e-04
"cybil" "HYPO" "ACB" 2.001614e-02 2.493140e-01 3.686844e-01 2.910412e-01 7.078289e-02 1.614206e-04
"cybil" "WASHOUT" "ACB" 2.276029e-02 1.456013e-01 2.981437e-01 4.187248e-01 1.142857e-01 4.842616e-04
"cybil" "FIBRE" "ACB" 1.380145e-02 1.973366e-01 3.435028e-01 3.535109e-02 4.089588e-01 1.049233e-03
"favour" "BASE" "ACB" 3.551251e-03 3.309120e-02 5.558515e-01 3.815981e-01 2.582728e-02 8.071017e-05
"favour" "HYPO" "ACB" 5.165456e-03 5.086360e-01 3.345440e-01 1.078289e-01 4.372567e-02 1.000000e-04
"favour" "WASHOUT" "ACB" 1.097659e-02 2.259887e-03 8.515738e-01 1.298628e-01 4.035512e-03 1.291364e-03
"favour" "FIBRE" "ACB" 7.845036e-02 3.163842e-02 7.333333e-01 7.707829e-02 7.933818e-02 1.614205e-04
"hiccup" "BASE" "ACB" 1.727199e-02 3.687651e-01 2.887813e-01 2.453592e-01 7.925747e-02 5.649718e-04
"hiccup" "HYPO" "ACB" 1.678773e-02 2.517353e-01 3.469734e-01 3.108959e-01 7.312349e-02 4.842614e-04
"hiccup" "WASHOUT" "ACB" 2.881356e-02 6.941082e-03 2.631961e-01 5.203390e-01 1.783697e-01 2.340597e-03
"hiccup" "FIBRE" "ACB" 1.745763e-01 2.266344e-01 4.984665e-01 2.590799e-02 7.433414e-02 8.071028e-05
"honest" "BASE" "ACB" 1.436642e-02 1.631961e-01 5.658596e-01 2.048426e-01 4.802260e-02 3.712671e-03
"honest" "HYPO" "ACB" 1.372074e-02 2.939467e-01 3.870056e-01 2.365617e-01 6.771590e-02 1.049233e-03
"honest" "WASHOUT" "ACB" 4.656981e-02 6.053269e-03 9.023406e-01 4.019370e-02 4.277643e-03 5.649718e-04
"honest" "FIBRE" "ACB" 9.192897e-02 1.570621e-01 4.846651e-01 1.252623e-01 1.408394e-01 2.421308e-04
"kindle" "BASE" "ACB" 5.706215e-02 1.934625e-01 3.723164e-01 2.410815e-01 1.307506e-01 5.326877e-03
"kindle" "HYPO" "ACB" 8.410008e-02 1.024213e-01 6.637611e-01 1.295400e-01 1.969330e-02 4.842615e-04
"kindle" "WASHOUT" "ACB" 8.313156e-03 2.986279e-02 3.948345e-01 4.795803e-01 8.684423e-02 5.649718e-04
"kindle" "FIBRE" "ACB" 1.548830e-01 8.321227e-02 6.023406e-01 7.433414e-02 8.466505e-02 5.649717e-04
"mustard" "BASE" "ACB" 1.614205e-02 1.124294e-01 5.610977e-01 2.355125e-01 7.465698e-02 1.614205e-04
"mustard" "HYPO" "ACB" 1.977401e-02 3.486683e-02 7.761098e-01 8.280872e-02 8.563358e-02 8.071025e-04
"mustard" "WASHOUT" "ACB" 1.533495e-02 4.891041e-02 5.527845e-01 3.484262e-01 3.430186e-02 2.421308e-04
